Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Thu Jan 01 05:30:00 NPT 1970,GET,https://publicsafety.ring.com,0,,0,487,0,14,0,,,[]
5,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/news,200,OK,368,720,0,566,3156,,,[news]
15,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/privacy,200,OK,558,723,0,566,3156,,,[privacy]
16,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/11,200,OK,843,718,0,566,3156,,,[11]
13,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/search,200,OK,855,722,0,566,3156,,,[search]
14,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/spacer,200,OK,865,722,0,566,3156,,,[spacer]
11,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/contact,200,OK,874,723,0,566,3156,,,[contact]
2,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/images,200,OK,882,722,0,566,3156,,,[images]
3,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/download,200,OK,892,724,0,566,3156,,,[download]
1,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/index,200,OK,899,721,0,566,3156,,Reflected,[index]
8,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/warez,200,OK,904,721,0,566,3156,,,[warez]
12,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/about,200,OK,912,721,0,566,3156,,,[about]
17,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/logo,200,OK,546,720,0,566,3156,,,[logo]
7,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/serial,200,OK,1064,722,0,566,3156,,,[serial]
4,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/2006,200,OK,1081,720,0,566,3156,,,[2006]
18,Fuzzed,Wed Oct 30 08:06:21 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/blog,200,OK,533,720,0,566,3156,,,[blog]
25,Fuzzed,Wed Oct 30 08:06:21 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/.bzr,200,OK,270,720,0,566,3156,,,[.bzr]
10,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/12,200,OK,1343,718,0,566,3156,,,[12]
19,Fuzzed,Wed Oct 30 08:06:21 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/new,200,OK,552,719,0,566,3156,,Reflected,[new]
6,Fuzzed,Wed Oct 30 08:06:20 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/crack,200,OK,1405,721,0,566,3156,,,[crack]
21,Fuzzed,Wed Oct 30 08:06:21 NPT 2024,GET,https://publicsafety.ring.com/sign_in?redirect=/cgi-bin,200,OK,547,723,0,566,3156,,,[cgi-bin]
